timestamp,u1_add,u1_del,u1_text,u2_add,u2_del,u2_text,u3_add,u3_del,u3_text,u4_add,u4_del,u4_text
2019-08-15 10:28:00,0,0,,3,0,,5,0,Hello,17,0,It is Adolfo here
2019-08-15 10:28:30,0,0,,20,0,I am also here ...,0,0,,55,0,sSo we are using a collaborative editor as a chatbox :D
2019-08-15 10:29:00,0,0,,22,0,Research Proposal 1,0,0,,0,0,
2019-08-15 10:29:30,0,0,,125,0,) https://docs.google.com/document/d/1UP6SF5CeXFROb_glSmTGV7zoMrdqOzXIX5lqu5x_SQE/edit?ts=5d496138#heading=h.e2zj9e49p07q,0,0,,0,0,
2019-08-15 10:30:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:30:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:31:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:31:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:32:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:32:30,0,0,,0,0,,6,0,Hello ,66,0,* Proposals do not need to be extremelly detailed/well written* 
2019-08-15 10:33:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:33:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:34:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:34:30,0,0,,0,0,,0,0,,4,0,Mayr
2019-08-15 10:35:00,0,0,,0,0,,0,0,,57,0,we usbe use an evaluation framekwwork for the template.
2019-08-15 10:35:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:36:00,0,0,,0,0,,0,0,,2,0,
2019-08-15 10:36:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:37:00,0,0,,0,0,,0,0,,43,0,I have to say that ausing Reet's kid as a 
2019-08-15 10:37:30,0,0,,0,0,,0,0,,122,0,someone to add somethin noice to the room but not collaborating is the sweetest thing ever done in a research activity :DA
2019-08-15 10:38:00,0,0,,0,0,,0,0,,91,0,nd here I amiting some things that areirrelevant things in Etherpad that are rrelevant 
